model,domain,drci,var_ratio,K,n_trials,embedding,excluded,exclusion_reason,mismatch_with_stored_K
gemini_flash,Medical,0.427029,1.286555,0.549396,50,all-MiniLM-L6-v2,no,,
deepseek_v3_1,Medical,0.320004,1.071153,0.342773,50,all-MiniLM-L6-v2,no,,
kimi_k2,Medical,0.416965,1.006456,0.419657,50,all-MiniLM-L6-v2,no,,
llama_4_maverick,Medical,0.316493,1.213297,0.384,50,all-MiniLM-L6-v2,no,,
llama_4_scout,Medical,0.32334,1.610013,0.520582,50,all-MiniLM-L6-v2,no,,
ministral_14b,Medical,0.39128,1.079895,0.422541,50,all-MiniLM-L6-v2,no,,
mistral_small_24b,Medical,0.364581,0.985083,0.359143,50,all-MiniLM-L6-v2,no,,
qwen3_235b,Medical,0.327511,1.333585,0.436764,50,all-MiniLM-L6-v2,no,,
claude_haiku,Philosophy,0.330566,1.01167,0.334424,50,all-MiniLM-L6-v2,no,,
gemini_flash,Philosophy,0.337978,1.119569,0.37839,50,all-MiniLM-L6-v2,no,,
gpt4o_mini,Philosophy,0.268704,0.967661,0.260014,50,all-MiniLM-L6-v2,no,,
gpt4o,Philosophy,0.283053,0.949857,0.26886,50,all-MiniLM-L6-v2,no,,
deepseek_v3_1,Philosophy,0.301589,1.033829,0.311791,50,all-MiniLM-L6-v2,no,,
llama_4_maverick,Philosophy,0.266284,0.939414,0.250151,50,all-MiniLM-L6-v2,no,,
deepseek_v3_1,Legal,0.276042,1.225057,0.338167,50,all-MiniLM-L6-v2,no,,
llama_3_3_70b_turbo,Legal,0.20594,1.427606,0.294001,50,all-MiniLM-L6-v2,no,,
llama_4_maverick,Legal,0.208872,1.411767,0.294879,50,all-MiniLM-L6-v2,no,,
mistral_small_24b,Legal,0.25224,1.33838,0.337593,50,all-MiniLM-L6-v2,no,,
qwen3_235b,Legal,0.264831,1.796172,0.475682,50,all-MiniLM-L6-v2,no,,
deepseek_v3_1,Ethics,0.256776,1.058126,0.271701,50,all-MiniLM-L6-v2,no,,
llama_3_3_70b_turbo,Ethics,0.172068,1.128373,0.194157,50,all-MiniLM-L6-v2,no,,
llama_4_maverick,Ethics,0.180729,1.176089,0.212553,50,all-MiniLM-L6-v2,no,,
mistral_small_24b,Ethics,0.1827,1.028981,0.187995,50,all-MiniLM-L6-v2,no,,
qwen3_235b,Ethics,0.210883,1.184203,0.249728,50,all-MiniLM-L6-v2,no,,
