domain,model,position,drci,drci_sem,drci_scrambled,disruption_sensitivity
philosophy,GPT-4o-mini,1,0.010589,0.001237,0.020364,0.009775
philosophy,GPT-4o-mini,2,0.178347,0.004672,0.181269,0.002923
philosophy,GPT-4o-mini,3,0.107638,0.00277,0.130995,0.023357
philosophy,GPT-4o-mini,4,0.096628,0.003413,0.13279,0.036163
philosophy,GPT-4o-mini,5,0.681807,0.005101,0.125506,-0.556301
philosophy,GPT-4o-mini,6,0.314646,0.006861,0.241285,-0.073361
philosophy,GPT-4o-mini,7,0.251688,0.006895,0.204878,-0.04681
philosophy,GPT-4o-mini,8,0.275308,0.007548,0.162558,-0.112749
philosophy,GPT-4o-mini,9,0.40059,0.007342,0.184325,-0.216265
philosophy,GPT-4o-mini,10,0.32461,0.005524,0.252685,-0.071925
philosophy,GPT-4o-mini,11,0.561711,0.006904,0.19088,-0.370831
philosophy,GPT-4o-mini,12,0.127566,0.003402,0.132617,0.005051
philosophy,GPT-4o-mini,13,0.347862,0.012979,0.192988,-0.154874
philosophy,GPT-4o-mini,14,0.241591,0.005496,0.142148,-0.099443
philosophy,GPT-4o-mini,15,0.119139,0.003931,0.110631,-0.008507
philosophy,GPT-4o-mini,16,0.082498,0.00318,0.086923,0.004425
philosophy,GPT-4o-mini,17,0.288747,0.00659,0.175829,-0.112918
philosophy,GPT-4o-mini,18,0.47468,0.011494,0.220875,-0.253805
philosophy,GPT-4o-mini,19,0.455655,0.009689,0.180253,-0.275402
philosophy,GPT-4o-mini,20,0.346053,0.007123,0.155332,-0.190721
philosophy,GPT-4o-mini,21,0.13877,0.007292,0.135324,-0.003446
philosophy,GPT-4o-mini,22,0.181738,0.005842,0.133511,-0.048227
philosophy,GPT-4o-mini,23,0.245251,0.008349,0.17403,-0.071221
philosophy,GPT-4o-mini,24,0.203876,0.007977,0.097119,-0.106756
philosophy,GPT-4o-mini,25,0.166167,0.005764,0.115175,-0.050992
philosophy,GPT-4o-mini,26,0.382131,0.008896,0.193003,-0.189128
philosophy,GPT-4o-mini,27,0.083693,0.003749,0.083091,-0.000602
philosophy,GPT-4o-mini,28,0.400531,0.009549,0.20343,-0.197101
philosophy,GPT-4o-mini,29,0.21754,0.005156,0.131575,-0.085965
philosophy,GPT-4o-mini,30,0.354085,0.007556,0.19234,-0.161745
philosophy,GPT-4o,1,0.00318,0.000818,0.009377,0.006198
philosophy,GPT-4o,2,0.185669,0.00552,0.210066,0.024397
philosophy,GPT-4o,3,0.122762,0.002927,0.133304,0.010542
philosophy,GPT-4o,4,0.117222,0.004816,0.144141,0.026919
philosophy,GPT-4o,5,0.768692,0.01041,0.18318,-0.585512
philosophy,GPT-4o,6,0.415689,0.00652,0.317802,-0.097887
philosophy,GPT-4o,7,0.401162,0.012066,0.273349,-0.127813
philosophy,GPT-4o,8,0.233022,0.007448,0.236269,0.003247
philosophy,GPT-4o,9,0.41781,0.01085,0.300757,-0.117052
