model,domain,position,drci,var_ratio,mutual_info_proxy
GPT-4o-mini (Phil),philosophy,1,0.003060162,0.743909,0.2560909986495971
GPT-4o-mini (Phil),philosophy,2,0.018248737,0.7972497,0.2027503252029419
GPT-4o-mini (Phil),philosophy,3,0.01728028,0.7064145,0.2935854792594909
GPT-4o-mini (Phil),philosophy,4,0.011023581,0.8531244,0.1468756198883056
GPT-4o-mini (Phil),philosophy,5,0.15108192,0.37460735,0.6253926455974579
GPT-4o-mini (Phil),philosophy,6,0.0061992407,0.9412803,0.0587196946144104
GPT-4o-mini (Phil),philosophy,7,0.040655375,0.76545995,0.234540045261383
GPT-4o-mini (Phil),philosophy,8,0.022144318,0.84785706,0.1521429419517517
GPT-4o-mini (Phil),philosophy,9,0.17844391,0.38669303,0.6133069694042206
GPT-4o-mini (Phil),philosophy,10,0.07078838,0.50644654,0.4935534596443176
GPT-4o-mini (Phil),philosophy,11,0.0786041,0.5992402,0.4007598161697387
GPT-4o-mini (Phil),philosophy,12,-0.016048968,1.1949245,-0.1949244737625122
GPT-4o-mini (Phil),philosophy,13,-0.06351864,1.5686516,-0.568651556968689
GPT-4o-mini (Phil),philosophy,14,-0.023551881,1.2230599,-0.2230598926544189
GPT-4o-mini (Phil),philosophy,15,-0.007620394,1.1024551,-0.1024551391601562
GPT-4o-mini (Phil),philosophy,16,0.00553751,0.92878336,0.0712166428565979
GPT-4o-mini (Phil),philosophy,17,-0.042056262,1.4935007,-0.4935007095336914
GPT-4o-mini (Phil),philosophy,18,0.0509305,0.73214847,0.2678515315055847
GPT-4o-mini (Phil),philosophy,19,0.11909866,0.5275501,0.4724498987197876
GPT-4o-mini (Phil),philosophy,20,-0.06993878,2.938217,-1.9382169246673584
GPT-4o-mini (Phil),philosophy,21,-0.026509762,1.2579525,-0.2579524517059326
GPT-4o-mini (Phil),philosophy,22,-0.007885456,1.0720749,-0.0720748901367187
GPT-4o-mini (Phil),philosophy,23,0.03826189,0.79534787,0.2046521306037902
GPT-4o-mini (Phil),philosophy,24,0.03705114,0.6876556,0.3123443722724914
GPT-4o-mini (Phil),philosophy,25,0.028699517,0.76383686,0.2361631393432617
GPT-4o-mini (Phil),philosophy,26,0.035817146,0.80564743,0.1943525671958923
GPT-4o-mini (Phil),philosophy,27,-0.01597017,1.2653601,-0.2653601169586181
GPT-4o-mini (Phil),philosophy,28,0.029066086,0.8456985,0.1543015241622924
GPT-4o-mini (Phil),philosophy,29,-0.028701425,1.3876047,-0.3876047134399414
GPT-4o-mini (Phil),philosophy,30,0.010864794,0.9170644,0.0829355716705322
GPT-4o (Phil),philosophy,1,0.0005893111,0.8175297,0.1824703216552734
GPT-4o (Phil),philosophy,2,0.033000708,0.63847476,0.3615252375602722
GPT-4o (Phil),philosophy,3,0.030715704,0.6133372,0.3866627812385559
GPT-4o (Phil),philosophy,4,0.008071542,0.90192515,0.0980748534202575
GPT-4o (Phil),philosophy,5,0.16166359,0.37684697,0.623153030872345
GPT-4o (Phil),philosophy,6,0.006852746,0.9343549,0.0656450986862182
GPT-4o (Phil),philosophy,7,-0.0134913325,1.089067,-0.0890669822692871
GPT-4o (Phil),philosophy,8,0.016203761,0.913648,0.086351990699768
GPT-4o (Phil),philosophy,9,0.096227586,0.70750165,0.2924983501434326
GPT-4o (Phil),philosophy,10,0.16285545,0.34599122,0.6540087759494781
GPT-4o (Phil),philosophy,11,0.16706783,0.4698663,0.5301336944103241
GPT-4o (Phil),philosophy,12,0.021679938,0.80044854,0.1995514631271362
GPT-4o (Phil),philosophy,13,0.15345961,0.48375225,0.5162477493286133
GPT-4o (Phil),philosophy,14,-0.03658712,1.3860248,-0.3860248327255249
GPT-4o (Phil),philosophy,15,-0.0070536137,1.0820209,-0.082020878791809
GPT-4o (Phil),philosophy,16,-0.015446246,1.1930972,-0.1930972337722778
GPT-4o (Phil),philosophy,17,-0.016909182,1.1439066,-0.1439065933227539
GPT-4o (Phil),philosophy,18,0.13203412,0.4832894,0.5167106091976166
GPT-4o (Phil),philosophy,19,0.11586499,0.59574777,0.4042522311210632
GPT-4o (Phil),philosophy,20,-0.06855935,2.2269604,-1.2269604206085205
GPT-4o (Phil),philosophy,21,-0.028639734,1.3768058,-0.3768057823181152
GPT-4o (Phil),philosophy,22,-0.030074716,1.270788,-0.2707879543304443
GPT-4o (Phil),philosophy,23,0.032448888,0.8396766,0.1603233814239502
GPT-4o (Phil),philosophy,24,-0.029033184,1.3235856,-0.3235856294631958
GPT-4o (Phil),philosophy,25,0.008192897,0.9366233,0.0633767247200012
GPT-4o (Phil),philosophy,26,0.10483909,0.65515465,0.3448453545570373
GPT-4o (Phil),philosophy,27,-0.0018990636,1.0269138,-0.0269137620925903
GPT-4o (Phil),philosophy,28,0.0029055476,0.9870971,0.0129029154777526
GPT-4o (Phil),philosophy,29,-0.06917381,1.8979491,-0.8979490995407104
GPT-4o (Phil),philosophy,30,0.002970457,0.9773346,0.0226653814315795
Claude Haiku (Phil),philosophy,1,0.0036699772,0.83449984,0.1655001640319824
Claude Haiku (Phil),philosophy,2,-0.006298542,1.0296355,-0.0296355485916137
Claude Haiku (Phil),philosophy,3,0.011438012,0.9019173,0.0980827212333679
Claude Haiku (Phil),philosophy,4,0.010397911,0.9260612,0.0739387869834899
Claude Haiku (Phil),philosophy,5,-0.070581436,1.7299061,-0.7299060821533203
Claude Haiku (Phil),philosophy,6,0.06530589,0.7086761,0.2913239002227783
Claude Haiku (Phil),philosophy,7,0.11881775,0.52751553,0.4724844694137573
Claude Haiku (Phil),philosophy,8,-0.009328961,1.0457312,-0.0457311868667602
Claude Haiku (Phil),philosophy,9,0.1116671,0.666526,0.3334739804267883
Claude Haiku (Phil),philosophy,10,-0.031907678,1.2649548,-0.2649548053741455
Claude Haiku (Phil),philosophy,11,0.13731068,0.53633684,0.4636631608009338
Claude Haiku (Phil),philosophy,12,-0.03250152,1.2280512,-0.2280511856079101
Claude Haiku (Phil),philosophy,13,-0.03344989,1.1939191,-0.1939190626144409
Claude Haiku (Phil),philosophy,14,-0.008498371,1.0397663,-0.0397663116455078
Claude Haiku (Phil),philosophy,15,0.0014739633,0.99145764,0.0085423588752746
Claude Haiku (Phil),philosophy,16,-0.016524374,1.0843554,-0.084355354309082
Claude Haiku (Phil),philosophy,17,-0.0016028881,1.0068525,-0.0068525075912475
Claude Haiku (Phil),philosophy,18,-0.014741898,1.0857303,-0.0857303142547607
Claude Haiku (Phil),philosophy,19,-0.0387581,1.1669136,-0.166913628578186
Claude Haiku (Phil),philosophy,20,-0.019327104,1.1001691,-0.1001690626144409
Claude Haiku (Phil),philosophy,21,0.03756976,0.8499256,0.1500744223594665
