model,domain,type,position,mean_drci_cold,sem_drci_cold,mean_drci_scrambled,disruption_sensitivity
GPT-4o-mini,philosophy,closed,1,0.010589,0.001237,0.020364,0.009775
GPT-4o-mini,philosophy,closed,2,0.178347,0.004672,0.181269,0.002923
GPT-4o-mini,philosophy,closed,3,0.107638,0.002770,0.130995,0.023357
GPT-4o-mini,philosophy,closed,4,0.096628,0.003413,0.132790,0.036163
GPT-4o-mini,philosophy,closed,5,0.681807,0.005101,0.125506,-0.556301
GPT-4o-mini,philosophy,closed,6,0.314646,0.006861,0.241285,-0.073361
GPT-4o-mini,philosophy,closed,7,0.251688,0.006895,0.204878,-0.046810
GPT-4o-mini,philosophy,closed,8,0.275308,0.007548,0.162558,-0.112749
GPT-4o-mini,philosophy,closed,9,0.400590,0.007342,0.184325,-0.216265
GPT-4o-mini,philosophy,closed,10,0.324610,0.005524,0.252685,-0.071925
GPT-4o-mini,philosophy,closed,11,0.561711,0.006904,0.190880,-0.370831
GPT-4o-mini,philosophy,closed,12,0.127566,0.003402,0.132617,0.005051
GPT-4o-mini,philosophy,closed,13,0.347862,0.012979,0.192988,-0.154874
GPT-4o-mini,philosophy,closed,14,0.241591,0.005496,0.142148,-0.099443
GPT-4o-mini,philosophy,closed,15,0.119139,0.003931,0.110631,-0.008507
GPT-4o-mini,philosophy,closed,16,0.082498,0.003180,0.086923,0.004425
GPT-4o-mini,philosophy,closed,17,0.288747,0.006590,0.175829,-0.112918
GPT-4o-mini,philosophy,closed,18,0.474680,0.011494,0.220875,-0.253805
GPT-4o-mini,philosophy,closed,19,0.455655,0.009689,0.180253,-0.275402
GPT-4o-mini,philosophy,closed,20,0.346053,0.007123,0.155332,-0.190721
GPT-4o-mini,philosophy,closed,21,0.138770,0.007292,0.135324,-0.003446
GPT-4o-mini,philosophy,closed,22,0.181738,0.005842,0.133511,-0.048227
GPT-4o-mini,philosophy,closed,23,0.245251,0.008349,0.174030,-0.071221
GPT-4o-mini,philosophy,closed,24,0.203876,0.007977,0.097119,-0.106756
